year,count,time
1922,12515,-8.495667695999146
1923,22052,-25.693804025650024
1924,32101,-42.39384627342224
1925,24533,-34.69384264945984
1926,21937,-23.789135694503784
1927,21609,-24.6196870803833
1928,31968,-38.83942151069641
1929,23424,-28.343533039093018
1930,19094,-23.864665746688843
1931,28270,-32.45049023628235
1932,28123,-33.98028588294983
1933,37991,-46.56252479553223
1934,34823,-46.021674394607544
1935,38821,-52.464818477630615
1936,37453,-51.83630156517029
1937,28915,-32.4137179851532
1938,18512,-18.239161252975464
1939,27235,-35.7565233707428
1940,17166,-19.125466346740723
1941,30438,-33.69676947593689
1942,24632,-27.28509759902954
1943,17470,-21.633702039718628
1944,20910,-24.415354251861572
1945,20824,-20.80451273918152
1946,30722,-43.90149784088135
1947,28663,-37.04638934135437
1948,29353,-32.82843613624573
1949,36478,-41.86803603172302
1950,38795,-44.09279680252075
1951,35178,-60.67320132255554
1952,47570,-89.21485137939453
1953,53637,-88.77921032905579
1954,21910,-23.66808319091797
1955,27330,-33.6182656288147
1956,34074,-49.624444007873535
1957,14711,-18.79612922668457
1958,29067,-32.72059082984924
1959,28818,-31.32268238067627
1960,30259,-36.10750651359558
1961,34443,-38.86262536048889
1962,40265,-49.30484676361084
1963,38157,-50.889732837677
1964,29650,-50.047536849975586
1965,32874,-47.92758750915527
1966,49738,-73.96114659309387
1967,41169,-48.19388389587402
1968,47881,-66.23798418045044
1969,45853,-63.639230728149414
1970,52455,-77.83427309989929
1971,64328,-112.63189435005188
1972,53821,-70.96454453468323
1973,36315,-47.7871150970459
1974,54888,-71.44583654403687
1975,69691,-122.08483815193176
1976,42417,-58.72521185874939
1977,34155,-51.93546748161316
1978,42539,-48.49852442741394
1979,42078,-69.18709301948547
1980,41719,-50.06342077255249
1981,35676,-52.59557247161865
1982,23217,-24.4228413105011
1983,39206,-52.35011148452759
1984,41751,-52.86798930168152
1985,39962,-48.37971544265747
1986,41841,-52.71092200279236
1987,31301,-38.47974729537964
1988,39352,-55.99061608314514
1989,37682,-59.40060472488403
1990,46395,-72.7489013671875
1991,45371,-68.31444573402405
1992,32012,-43.29940915107727
1993,40034,-61.458245277404785
1994,33455,-50.28118968009949
1995,38090,-58.962400674819946
1996,38264,-61.10875415802002
1997,32851,-41.35582423210144
1998,34522,-45.058202028274536
1999,36376,-46.485949754714966
2000,41344,-66.64041590690613
2001,44193,-70.99008202552795
2002,31867,-38.278255462646484
2003,51924,-84.35703444480896
2004,49154,-95.95785212516785
2005,43538,-70.89349842071533
2006,46881,-68.06634712219238
2007,36176,-48.94376182556152
2008,48802,-74.12330389022827
2009,53351,-85.34888195991516
2010,56974,-100.0629210472107
2011,47861,-70.88978457450867
2012,53128,-82.36154055595398
2013,48576,-71.97232151031494
2014,47097,-71.49121141433716
2015,44448,-58.78836965560913
